# MANIFEST -- vegetables reseed (task #5), generated by tools/reseed_vegetables.py
# Columns: province_id | name | region | zone | old_good -> vegetables

5013 | Paris | Northern_France | atlantic_seaboard | grain -> vegetables
3115 | Billings | Mountain_West | west_north_america | grain -> vegetables
2439 | La Paz | Upper_Peru | west_south_america | grain -> vegetables
1250 | Huasco | Chile | west_south_america | grain -> vegetables
3863 | Trujillo | Peru | west_south_america | grain -> vegetables
944 | Sincelejo | Colombia | west_south_america | grain -> vegetables
3044 | Tarija | Upper_Peru | west_south_america | livestock -> vegetables
1584 | La Serena | Chile | west_south_america | grain -> vegetables
1227 | Huaura | Peru | west_south_america | grain -> vegetables
1808 | Barranquilla | Colombia | west_south_america | grain -> vegetables
4432 | Uncía | Upper_Peru | west_south_america | grain -> vegetables
8754 | Cobquecura | Chile | west_south_america | livestock -> vegetables
2373 | Santo Tomás | Peru | west_south_america | livestock -> vegetables
5176 | Mocoa | Colombia | west_south_america | livestock -> vegetables
8208 | Apolo | Upper_Peru | west_south_america | livestock -> vegetables
239 | Kashary | Voiska_Donskova | western_steppe | livestock -> vegetables
5462 | Podolsk | Moscow | western_steppe | grain -> vegetables
8598 | Katherinenstadt | Kazan | western_steppe | grain -> vegetables
112 | Bortala | Turkestan | western_steppe | livestock -> vegetables
713 | Khiva | Khwarezm | western_steppe | livestock -> vegetables
2528 | Ust-labisnk | Caucasus | western_steppe | livestock -> vegetables
110 | Kokand | Fergana | western_steppe | livestock -> vegetables
2776 | Miliutinskaya | Voiska_Donskova | western_steppe | grain -> vegetables
2036 | Obinsk | Moscow | western_steppe | grain -> vegetables
9147 | Tarlykovka | Kazan | western_steppe | grain -> vegetables
113 | Beifuyun | Turkestan | western_steppe | livestock -> vegetables
3527 | Mary | Khwarezm | western_steppe | livestock -> vegetables
3072 | Tikhoretsk | Caucasus | western_steppe | livestock -> vegetables
2337 | Istaravshan | Fergana | western_steppe | livestock -> vegetables
3189 | Yelan | Voiska_Donskova | western_steppe | livestock -> vegetables
8417 | Woskressensk | Moscow | western_steppe | grain -> vegetables
95 | Chirovo | Kazan | western_steppe | livestock -> vegetables
121 | Karamay | Turkestan | western_steppe | livestock -> vegetables
508 | Farap | Khwarezm | western_steppe | livestock -> vegetables
3134 | Korenovsk | Caucasus | western_steppe | livestock -> vegetables
3444 | Khartsizk | Voiska_Donskova | western_steppe | grain -> vegetables
562 | Krasninsky | Moscow | western_steppe | grain -> vegetables
236 | Pereliub | Kazan | western_steppe | livestock -> vegetables
730 | Teleky | Turkestan | western_steppe | livestock -> vegetables
726 | Yarlykay | Khwarezm | western_steppe | livestock -> vegetables
3677 | Starominskaya | Caucasus | western_steppe | livestock -> vegetables
6312 | Zolotoe | Voiska_Donskova | western_steppe | livestock -> vegetables
1438 | Chekhov | Moscow | western_steppe | grain -> vegetables
660 | Cherdakly | Kazan | western_steppe | livestock -> vegetables
2429 | Seoul | Korea | yellow_sea | grain -> vegetables
37 | Shobara | Honshu | yellow_sea | livestock -> vegetables
1285 | Xin'anzhen | Jiangsu | yellow_sea | grain -> vegetables
137 | Chun'an | Zhejiang | yellow_sea | grain -> vegetables
886 | Zhumadian | Henan | yellow_sea | grain -> vegetables
9753 | Suzhou | Anhui | yellow_sea | grain -> vegetables
2386 | Nankang | Jiangxi | yellow_sea | grain -> vegetables
3049 | Yantai | Shandong | yellow_sea | grain -> vegetables
7845 | Xiamen | Fujian | yellow_sea | grain -> vegetables
2578 | Pyongyang | Korea | yellow_sea | grain -> vegetables
53 | Masudo | Honshu | yellow_sea | grain -> vegetables
2572 | Taicang | Jiangsu | yellow_sea | grain -> vegetables
151 | Xaihua | Zhejiang | yellow_sea | grain -> vegetables
2742 | Biyang | Henan | yellow_sea | grain -> vegetables
985 | Mingguang | Anhui | yellow_sea | grain -> vegetables
2403 | Chongyi | Jiangxi | yellow_sea | grain -> vegetables
4510 | Penglai | Shandong | yellow_sea | grain -> vegetables
3965 | Zhangzhou | Fujian | yellow_sea | grain -> vegetables
5586 | Busan | Korea | yellow_sea | grain -> vegetables
779 | Sendai | Honshu | yellow_sea | grain -> vegetables
3144 | Xinghua | Jiangsu | yellow_sea | grain -> vegetables
480 | Suichang | Zhejiang | yellow_sea | grain -> vegetables
2757 | Xichuan | Henan | yellow_sea | grain -> vegetables
1000 | Bengbu | Anhui | yellow_sea | grain -> vegetables
3901 | Nanfeng | Jiangxi | yellow_sea | grain -> vegetables
6439 | Binzhou | Shandong | yellow_sea | grain -> vegetables
4247 | Hua'an | Fujian | yellow_sea | grain -> vegetables
5939 | Changwon | Korea | yellow_sea | grain -> vegetables
1780 | Hitachinaka | Honshu | yellow_sea | grain -> vegetables
3396 | Guannan | Jiangsu | yellow_sea | grain -> vegetables
3257 | Linhai | Zhejiang | yellow_sea | grain -> vegetables
3245 | Sanmenxia | Henan | yellow_sea | grain -> vegetables
1607 | Wonanzhen | Anhui | yellow_sea | grain -> vegetables
4929 | Huichang | Jiangxi | yellow_sea | grain -> vegetables
6853 | Yinan | Shandong | yellow_sea | grain -> vegetables
28 | Huicheon | Korea | yellow_sea | grain -> vegetables
2339 | Fukushima | Honshu | yellow_sea | livestock -> vegetables
3408 | Siyang | Jiangsu | yellow_sea | grain -> vegetables
4603 | Ningling | Henan | yellow_sea | grain -> vegetables
3790 | Langya | Anhui | yellow_sea | grain -> vegetables
663 | Kwangju | Korea | yellow_sea | grain -> vegetables
2701 | Niigata | Honshu | yellow_sea | grain -> vegetables
4618 | Fugou | Henan | yellow_sea | grain -> vegetables

# Per-region pre/post counts of the displaced good (depletion headroom)
grain in American_Southwest: pre=4 post=3 region_total_provinces=80
grain in Anatolia: pre=11 post=10 region_total_provinces=66
grain in Andalusia: pre=6 post=4 region_total_provinces=37
grain in Anhui: pre=21 post=16 region_total_provinces=29
grain in Appalachia: pre=4 post=3 region_total_provinces=42
grain in Arab_Iraq: pre=22 post=19 region_total_provinces=47
grain in Arabian_Sea: pre=3 post=2 region_total_provinces=37
grain in Atlantic_France: pre=6 post=4 region_total_provinces=58
grain in Auvergne-Rhone-Alpes: pre=5 post=4 region_total_provinces=32
grain in Azerbaijan: pre=6 post=4 region_total_provinces=29
grain in Bulgaria: pre=12 post=9 region_total_provinces=30
grain in Cambodia: pre=3 post=2 region_total_provinces=27
grain in Caspian_Iran: pre=4 post=3 region_total_provinces=13
grain in Catalonia-Aragon: pre=5 post=3 region_total_provinces=35
grain in Central_Italy: pre=3 post=2 region_total_provinces=43
grain in Chile: pre=7 post=5 region_total_provinces=28
grain in Cisalpine_Italy: pre=3 post=2 region_total_provinces=22
grain in Coastal_West_Africa: pre=8 post=7 region_total_provinces=123
grain in Colombia: pre=5 post=3 region_total_provinces=55
grain in Deep_South: pre=21 post=14 region_total_provinces=105
grain in Egypt: pre=15 post=10 region_total_provinces=69
grain in Far_East: pre=5 post=4 region_total_provinces=221
grain in Fujian: pre=9 post=6 region_total_provinces=25
grain in Galicia: pre=9 post=7 region_total_provinces=39
grain in Grand_Est: pre=9 post=7 region_total_provinces=50
grain in Great_Forests: pre=32 post=22 region_total_provinces=65
grain in Great_Lakes: pre=4 post=3 region_total_provinces=42
grain in Great_Plains: pre=17 post=16 region_total_provinces=106
grain in Guangdong: pre=19 post=17 region_total_provinces=47
grain in Guangxi: pre=16 post=14 region_total_provinces=34
grain in Gulf_of_Guinea: pre=7 post=5 region_total_provinces=77
grain in Henan: pre=24 post=18 region_total_provinces=29
grain in Honshu: pre=19 post=15 region_total_provinces=73
grain in Horn_of_Africa: pre=9 post=7 region_total_provinces=85
grain in Hubei: pre=13 post=12 region_total_provinces=27
grain in Hunan: pre=8 post=7 region_total_provinces=28
grain in Illyria: pre=24 post=19 region_total_provinces=97
grain in Ireland: pre=8 post=5 region_total_provinces=33
grain in Java: pre=10 post=6 region_total_provinces=29
grain in Jiangsu: pre=14 post=9 region_total_provinces=34
grain in Jiangxi: pre=12 post=8 region_total_provinces=27
grain in Johore: pre=3 post=2 region_total_provinces=26
grain in Kazan: pre=9 post=7 region_total_provinces=261
grain in Kiev: pre=47 post=44 region_total_provinces=113
grain in Korea: pre=44 post=38 region_total_provinces=59
grain in La_Mancha: pre=16 post=13 region_total_provinces=49
grain in Lake_Victoria: pre=8 post=6 region_total_provinces=87
grain in Laos: pre=3 post=2 region_total_provinces=33
grain in Leon-Castille: pre=21 post=18 region_total_provinces=63
grain in Liaoning: pre=7 post=5 region_total_provinces=36
grain in Luzon: pre=8 post=6 region_total_provinces=33
grain in Madagascar: pre=11 post=9 region_total_provinces=33
grain in Marmara: pre=4 post=3 region_total_provinces=18
grain in Mid-Atlantic: pre=28 post=19 region_total_provinces=85
grain in Mid-Atlantic_South: pre=17 post=11 region_total_provinces=38
grain in Mindanao: pre=3 post=2 region_total_provinces=29
grain in Morocco: pre=4 post=3 region_total_provinces=50
grain in Moscow: pre=36 post=31 region_total_provinces=414
grain in Mountain_West: pre=31 post=26 region_total_provinces=106
grain in Mozambique: pre=30 post=26 region_total_provinces=41
grain in New_England: pre=4 post=3 region_total_provinces=34
grain in New_Guinea: pre=4 post=3 region_total_provinces=58
grain in Northern_France: pre=26 post=22 region_total_provinces=57
grain in Northern_Territory: pre=3 post=2 region_total_provinces=27
grain in Odessa: pre=36 post=33 region_total_provinces=65
grain in Ontario: pre=3 post=2 region_total_provinces=62
grain in Pacific_Mexico: pre=12 post=8 region_total_provinces=73
grain in Pannonia: pre=15 post=14 region_total_provinces=85
grain in Paraguay: pre=3 post=2 region_total_provinces=13
grain in Persian_Iraq: pre=6 post=4 region_total_provinces=33
grain in Peru: pre=5 post=3 region_total_provinces=63
grain in Portugal: pre=4 post=3 region_total_provinces=37
grain in Praire_Provinces: pre=12 post=8 region_total_provinces=55
grain in Rumelia: pre=4 post=3 region_total_provinces=89
grain in Sahel: pre=15 post=14 region_total_provinces=71
grain in Shandong: pre=11 post=7 region_total_provinces=35
grain in Shanxi: pre=9 post=7 region_total_provinces=22
grain in Siam: pre=7 post=5 region_total_provinces=30
grain in Sichuan_Kham: pre=12 post=11 region_total_provinces=38
grain in South_Australia: pre=47 post=41 region_total_provinces=76
grain in South_Brazil: pre=7 post=6 region_total_provinces=24
grain in Southern_England: pre=6 post=4 region_total_provinces=32
grain in Southern_Italy: pre=3 post=2 region_total_provinces=22
grain in Subcarpathia: pre=28 post=25 region_total_provinces=76
grain in Sudan: pre=6 post=4 region_total_provinces=57
grain in Sulawesi: pre=5 post=3 region_total_provinces=27
grain in Sumatra: pre=6 post=4 region_total_provinces=57
grain in Syria: pre=20 post=17 region_total_provinces=48
grain in Upper_Peru: pre=7 post=5 region_total_provinces=28
grain in Venetia: pre=3 post=2 region_total_provinces=18
grain in Venezuela: pre=4 post=3 region_total_provinces=45
grain in Vietnam: pre=9 post=8 region_total_provinces=62
grain in Visayas: pre=3 post=2 region_total_provinces=20
grain in Voiska_Donskova: pre=15 post=13 region_total_provinces=118
grain in Zhejiang: pre=12 post=8 region_total_provinces=28
grain in Zhili: pre=27 post=25 region_total_provinces=55
grain in Zimbabwe: pre=7 post=5 region_total_provinces=31
livestock in Algeria: pre=31 post=27 region_total_provinces=75
livestock in American_Southwest: pre=53 post=41 region_total_provinces=80
livestock in Anatolia: pre=12 post=10 region_total_provinces=66
livestock in Andalusia: pre=3 post=2 region_total_provinces=37
livestock in Angola: pre=9 post=6 region_total_provinces=28
livestock in Arabia: pre=28 post=23 region_total_provinces=67
livestock in Arabian_Sea: pre=8 post=5 region_total_provinces=37
livestock in Argentina: pre=47 post=44 region_total_provinces=72
livestock in Armenia: pre=5 post=3 region_total_provinces=17
livestock in Atlantic_France: pre=16 post=14 region_total_provinces=58
livestock in Auvergne-Rhone-Alpes: pre=6 post=4 region_total_provinces=32
livestock in Balochistan: pre=12 post=10 region_total_provinces=15
livestock in Black_Sea: pre=6 post=4 region_total_provinces=56
livestock in Borneo: pre=3 post=2 region_total_provinces=61
livestock in California: pre=25 post=15 region_total_provinces=65
livestock in Cambodia: pre=12 post=11 region_total_provinces=27
livestock in Caroline_Islands: pre=5 post=3 region_total_provinces=11
livestock in Catalonia-Aragon: pre=7 post=5 region_total_provinces=35
livestock in Caucasus: pre=22 post=18 region_total_provinces=78
livestock in Center-West_Brazil: pre=15 post=12 region_total_provinces=25
livestock in Chile: pre=4 post=3 region_total_provinces=28
livestock in Cilicia: pre=3 post=2 region_total_provinces=34
livestock in Coastal_West_Africa: pre=13 post=10 region_total_provinces=123
livestock in Colombia: pre=4 post=3 region_total_provinces=55
livestock in Congo_Basin: pre=15 post=11 region_total_provinces=85
livestock in Deep_South: pre=30 post=25 region_total_provinces=105
livestock in Eastern_Arabia: pre=5 post=3 region_total_provinces=10
livestock in Egypt: pre=13 post=10 region_total_provinces=69
livestock in Far_East: pre=7 post=6 region_total_provinces=221
livestock in Fergana: pre=7 post=5 region_total_provinces=18
livestock in Galicia: pre=8 post=7 region_total_provinces=39
livestock in Gansu: pre=33 post=31 region_total_provinces=58
livestock in Grand_Est: pre=4 post=3 region_total_provinces=50
livestock in Great_Lakes: pre=6 post=4 region_total_provinces=42
livestock in Great_Plains: pre=67 post=55 region_total_provinces=106
livestock in Gulf_of_Guinea: pre=5 post=4 region_total_provinces=77
livestock in Guyana: pre=5 post=3 region_total_provinces=15
livestock in Honshu: pre=11 post=9 region_total_provinces=73
livestock in Horn_of_Africa: pre=33 post=30 region_total_provinces=85
livestock in Illyria: pre=17 post=13 region_total_provinces=97
livestock in Johore: pre=4 post=3 region_total_provinces=26
livestock in Kalahari: pre=6 post=4 region_total_provinces=19
livestock in Kazan: pre=42 post=39 region_total_provinces=261
livestock in Kerman: pre=4 post=3 region_total_provinces=8
livestock in Khurasan: pre=9 post=7 region_total_provinces=16
livestock in Khwarezm: pre=32 post=28 region_total_provinces=45
livestock in Lake_Victoria: pre=16 post=14 region_total_provinces=87
livestock in Lan_Na: pre=3 post=2 region_total_provinces=9
livestock in Laos: pre=21 post=19 region_total_provinces=33
livestock in Leon-Castille: pre=10 post=9 region_total_provinces=63
livestock in Levant: pre=10 post=6 region_total_provinces=35
livestock in Libya: pre=35 post=26 region_total_provinces=64
livestock in Madagascar: pre=6 post=4 region_total_provinces=33
livestock in Mid-Atlantic: pre=41 post=39 region_total_provinces=85
livestock in Mongolia: pre=102 post=99 region_total_provinces=178
livestock in Morocco: pre=8 post=6 region_total_provinces=50
livestock in Mountain_West: pre=55 post=41 region_total_provinces=106
livestock in Mozambique: pre=3 post=2 region_total_provinces=41
livestock in New_England: pre=5 post=3 region_total_provinces=34
livestock in North_Island: pre=3 post=2 region_total_provinces=24
livestock in Northeast_Brazil: pre=16 post=13 region_total_provinces=38
livestock in Northern_England: pre=3 post=2 region_total_provinces=20
livestock in Northern_Mexico: pre=19 post=12 region_total_provinces=39
livestock in Northern_Territory: pre=5 post=3 region_total_provinces=27
livestock in Nusa_Tenggara: pre=5 post=3 region_total_provinces=19
livestock in Occitanie: pre=10 post=7 region_total_provinces=31
livestock in Ontario: pre=3 post=2 region_total_provinces=62
livestock in Pacific_Mexico: pre=4 post=3 region_total_provinces=73
livestock in Pannonia: pre=9 post=7 region_total_provinces=85
livestock in Paraguay: pre=4 post=3 region_total_provinces=13
livestock in Pashtunistan: pre=21 post=19 region_total_provinces=51
livestock in Patagonia: pre=11 post=9 region_total_provinces=28
livestock in Peru: pre=5 post=4 region_total_provinces=63
livestock in Portugal: pre=5 post=3 region_total_provinces=37
livestock in Praire_Provinces: pre=4 post=3 region_total_provinces=55
livestock in Quebec: pre=3 post=2 region_total_provinces=47
livestock in Queensland: pre=4 post=3 region_total_provinces=58
livestock in Rumelia: pre=7 post=5 region_total_provinces=89
livestock in Sahel: pre=16 post=13 region_total_provinces=71
livestock in Scotland: pre=6 post=4 region_total_provinces=39
livestock in South_Africa: pre=20 post=14 region_total_provinces=90
livestock in South_Australia: pre=4 post=3 region_total_provinces=76
livestock in South_Brazil: pre=7 post=6 region_total_provinces=24
livestock in South_Island: pre=3 post=2 region_total_provinces=18
livestock in Southeast_Brazil: pre=4 post=3 region_total_provinces=41
livestock in Southern_Iran: pre=5 post=3 region_total_provinces=31
livestock in Sudan: pre=14 post=12 region_total_provinces=57
livestock in Sulawesi: pre=7 post=5 region_total_provinces=27
livestock in Sumatra: pre=13 post=9 region_total_provinces=57
livestock in Tibet: pre=22 post=21 region_total_provinces=23
livestock in Tunisia: pre=6 post=4 region_total_provinces=24
livestock in Turkestan: pre=47 post=43 region_total_provinces=123
livestock in Upper_Peru: pre=5 post=3 region_total_provinces=28
livestock in Uruguay: pre=6 post=4 region_total_provinces=13
livestock in Venetia: pre=4 post=3 region_total_provinces=18
livestock in Venezuela: pre=6 post=4 region_total_provinces=45
livestock in Vietnam: pre=5 post=4 region_total_provinces=62
livestock in Voiska_Donskova: pre=49 post=46 region_total_provinces=118
livestock in Wales_Mercia: pre=3 post=2 region_total_provinces=23
livestock in Western_Australia: pre=37 post=31 region_total_provinces=43
livestock in Western_Sahara: pre=14 post=11 region_total_provinces=21
livestock in Zimbabwe: pre=11 post=7 region_total_provinces=31
